"totalAcc","totalPert","totalAccNorm","totalPertNorm","pPert","pAcc","pORA","pComb","pPert.fdr","pAcc.fdr","pORA.fdr","pComb.fdr"
"path:hsa04150",109.306181275159,171.12259668936,1.90657046594244,2.65499175257459,0.0298507462686567,0.0597014925373134,0.00520434250471861,0.00151777383944904,0.0420267085624509,0.114854299928927,0.0475602311555702,0.00792203906444133
"path:hsa04915",33.8240630637951,93.4829400830605,0.754806684113611,2.53763669595239,0.0199004975124378,0.417910447761194,0.00808032060266793,0.00156546511684004,0.0310854486690634,0.548168249660787,0.0550471841056753,0.00796572385573826
"path:hsa05161",172.065347882583,266.882305627119,2.19607684327302,3.56909825774449,0.00497512437810945,0.0298507462686567,0.0331306418825077,0.00160058937288199,0.0140089028541503,0.0726488041719115,0.109431514096768,0.00796572385573826
"path:hsa05210",21.2304424547356,70.8963863814582,0.547142959334892,2.78035404534776,0.0149253731343284,0.611940298507463,0.0121234817315238,0.00174022694866888,0.0255522388059701,0.735785358919687,0.0714302437154645,0.00817912322130974
"path:hsa04666",52.4466282611053,109.755113301054,4.70910876387107,6.18571763914229,0.00497512437810945,0.00497512437810945,0.0374058586130893,0.00178454471691952,0.0140089028541503,0.0324185523992939,0.117540528036254,0.00817912322130974
"path:hsa04662",29.1772204147559,91.4555014179091,0.821893523592031,3.04807449367914,0.0199004975124378,0.373134328358209,0.00956644146124963,0.00182124190251157,0.0310854486690634,0.499159829989127,0.0595852639586406,0.00817912322130974
"path:hsa05132",40.7000282372852,104.279779061865,5.16126739979279,6.87927611421145,0.00497512437810945,0.00497512437810945,0.0385437092761751,0.00183308268199891,0.0140089028541503,0.0324185523992939,0.117540528036254,0.00817912322130974
"path:hsa05211",18.690473781767,47.8478544613427,1.8641194387471,2.58112865579494,0.00995024875621891,0.0597014925373134,0.0198024657456422,0.00187820112756128,0.0199004975124378,0.114854299928927,0.0881007659704081,0.00817912322130974
"path:hsa05220",43.8543066096561,83.4898726268176,1.94629599780548,2.6666706419952,0.0298507462686567,0.054726368159204,0.00683646232246432,0.00193809223842778,0.0420267085624509,0.111663902708679,0.0533213784139717,0.00817912322130974
"path:hsa04934",78.4317480689381,130.050945776547,4.92254587187781,5.76592575442212,0.00497512437810945,0.00497512437810945,0.0412823478407399,0.00194923030040559,0.0140089028541503,0.0324185523992939,0.119994024390417,0.00817912322130974
