"totalAcc","totalPert","totalAccNorm","totalPertNorm","pPert","pAcc","pORA","pComb","pPert.fdr","pAcc.fdr","pORA.fdr","pComb.fdr"
"path:hsa05034",0,9.39718320151731,NA,0.463081096715081,0.666666666666667,NA,0.000705595837550188,0.00407454927511338,0.926045448433508,NA,0.0230494640266395,0.0171839686819999
"path:hsa05170",13.9220241007371,21.804051309565,2.21491132782359,2.11696089320102,0.0646766169154229,0.0497512437810945,0.0659022959463226,0.0275259097019498,0.250945273631841,0.189054726368159,0.195709848567867,0.109865361798389
"path:hsa01522",46.3568835312044,57.4196255762814,0.604455428620828,0.591861679609673,0.54726368159204,0.527363184079602,0.00805372539934754,0.028315814896492,0.899738595159794,0.763353046090303,0.0880506702875123,0.109865361798389
"path:hsa04931",6.7176200206354,8.95682669418053,2.61805440662246,1.81989127245288,0.0398009950248756,0.00497512437810945,0.128824973431363,0.0321647832891839,0.175486205336952,0.0199004975124378,0.210414123271226,0.119999383809648
"path:hsa05130",10.8703305788464,13.1095372523915,2.40305077475406,1.99381268600636,0.0447761194029851,0.00497512437810945,0.128824973431363,0.035505975389626,0.188838416612589,0.0199004975124378,0.210414123271226,0.127558504177545
"path:hsa04110",41.7025868978481,54.2571768074975,-0.217157068737009,-0.0906345532541788,0.930348258706468,0.845771144278607,0.00805372539934754,0.0441610102009684,0.995653312385441,0.923667377398721,0.0880506702875123,0.152986356767641
"path:hsa04625",8.82353537153186,19.8862774166089,-0.445304934006037,0.00646529697143146,1,0.696517412935323,0.00805372539934754,0.0468857329834597,1,0.873990702226572,0.0880506702875123,0.156824693082606
"path:hsa04917",8.95682669418053,11.1960333677257,2.23250670175358,1.72677042589084,0.0696517412935323,0.00497512437810945,0.128824973431363,0.0512670033621628,0.259854573287409,0.0199004975124378,0.210414123271226,0.165763310870993
"path:hsa05030",0,6.70479513917261,NA,0.811613443711373,0.432835820895522,NA,0.0269542868227079,0.0635957358639178,0.823236757389523,NA,0.0880506702875123,0.198993108993549
"path:hsa05219",8.82353537153186,17.6470707430637,0.693409724604322,0.693409724604322,0.532338308457711,0.532338308457711,0.0269542868227079,0.0752463814041553,0.890289929662035,0.763353046090303,0.0880506702875123,0.228090593631346
"path:hsa04080",0,0.340572531889335,NA,-2.28167505231187,0.0199004975124378,NA,0.770224543269092,0.0793688991610276,0.0965174129353234,NA,0.786270887920531,0.228626415921874
"path:hsa04972",0,0.0602078734981521,NA,-1.96107474392471,0.0398009950248756,NA,0.389738453903748,0.0801370942406567,0.175486205336952,NA,0.483473018766675,0.228626415921874
"path:hsa01524",32.8431594384797,41.6666948100116,0.530150950693629,0.530150950693629,0.606965174129353,0.606965174129353,0.0269542868227079,0.0836485938699189,0.919931592039801,0.781853444641201,0.0880506702875123,0.228743581187794
